National Center for Education Statistics
"Number of degrees/certificates awarded at postsecondary institutions, by award level and  highest degree offered: 2019-20"

Year,Award level,Total,Non-degree granting,Doctor's degree - research/scholarship and professional practice,Doctor's degree - research/scholarship,Doctor's degree -  professional practice,Doctor's degree - other,Master's degree,Bachelor's degree,Associate's degree
2020,Total,"5,132,514","215,702","1,844,783","512,308","329,291","43,841","498,606","445,818","1,242,165"
2020,Award of less than 1 academic year,"512,799","89,033","19,792","9,078","4,532",60,"9,784","81,456","299,064"
2020,Award of at least 1 but less than 2 academic years,"427,826","114,202","4,282","1,108","1,957",16,"11,226","49,202","245,833"
2020,Associate's degree,"1,018,250",17,"20,597","21,727","17,444",322,"42,230","226,008","689,905"
2020,Award of at least 2 but less than 4 academic years,"22,705","12,356",837,84,517,63,826,698,"7,324"
2020,Bachelor's degree,"2,038,431",N/A,"1,102,665","288,549","200,093","34,380","324,380","88,344",20
2020,Postbaccalaureate certificate,"54,835",87,"36,003","9,187","3,495",138,"5,812",94,19
2020,Master's degree,"843,449",N/A,"494,344","163,750","76,267","8,177","100,898",13,N/A
2020,Post-master's certificate,"24,041",7,"14,055","4,605","1,878",95,"3,398",3,N/A
2020,Doctor's degree - research/scholarship (new degree classification),"73,505",N/A,"59,461","14,041",0,N/A,3,0,N/A
2020,Doctor's degree - professional practice (new degree classification),"114,376",N/A,"91,706",15,"22,606",0,49,N/A,N/A
2020,Doctor's degree - other (new degree classification),"2,297",N/A,"1,041",164,502,590,N/A,N/A,N/A
2019,Total,"5,144,436","237,316","1,764,261","529,370","327,518","36,358","518,107","432,052","1,299,454"
2019,Award of less than 1 academic year,"548,616","101,956","18,388","10,035","3,317",0,"10,948","84,252","319,720"
2019,Award of at least 1 but less than 2 academic years,"429,364","120,560","4,319","1,092","1,571",17,"8,025","44,719","249,061"
2019,Associate's degree,"1,036,654",14,"20,190","20,795","16,562",357,"46,603","208,000","724,133"
2019,Award of at least 2 but less than 4 academic years,"24,547","14,701","1,069",165,516,18,254,"1,325","6,499"
2019,Bachelor's degree,"2,013,086",N/A,"1,050,251","300,863","198,600","27,326","342,373","93,672",1
2019,Postbaccalaureate certificate,"48,696",73,"28,866","9,614","4,406",123,"5,505",69,40
2019,Master's degree,"833,792",N/A,"479,867","167,414","77,113","7,819","101,565",14,N/A
2019,Post-master's certificate,"22,104",12,"13,070","4,437","1,671",100,"2,813",1,N/A
2019,Doctor's degree - research/scholarship (new degree classification),"73,516",N/A,"58,739","14,771",N/A,N/A,6,N/A,N/A
2019,Doctor's degree - professional practice (new degree classification),"111,898",N/A,"88,599",2,"23,251",31,15,N/A,N/A
2019,Doctor's degree - other (new degree classification),"2,163",N/A,903,182,511,567,0,N/A,N/A
2018,Total,"5,020,910","236,536","1,716,276","505,784","293,319","56,430","549,883","392,246","1,270,436"
2018,Award of less than 1 academic year,"519,359","97,211","15,587","10,322","3,233",16,"11,179","70,016","311,795"
2018,Award of at least 1 but less than 2 academic years,"407,746","121,642","3,744","1,086","1,515",25,"8,420","36,257","235,057"
2018,Associate's degree,"1,011,791",95,"19,990","21,884","11,020","1,670","49,601","191,587","715,944"
2018,Award of at least 2 but less than 4 academic years,"28,408","17,470","1,070",254,563,17,298,"1,162","7,574"
2018,Bachelor's degree,"1,980,667",2,"1,022,119","284,857","178,042","40,845","361,652","93,118",32
2018,Postbaccalaureate certificate,"46,925",99,"27,416","9,375","4,137",412,"5,385",75,26
2018,Master's degree,"820,242",N/A,"468,345","159,821","69,400","12,433","110,211",24,8
2018,Post-master's certificate,"22,038",17,"13,051","3,966","1,641",229,"3,131",3,N/A
2018,Doctor's degree - research/scholarship (new degree classification),"72,089",N/A,"58,067","13,964",51,N/A,3,4,N/A
2018,Doctor's degree - professional practice (new degree classification),"109,252",N/A,"85,969",69,"23,211",N/A,3,N/A,N/A
2018,Doctor's degree - other (new degree classification),"2,393",N/A,918,186,506,783,N/A,N/A,N/A
2017,Total,"4,956,075","249,140","1,626,836","510,310","291,960","67,501","562,495","373,644","1,274,189"
2017,Award of less than 1 academic year,"493,572","97,922","10,972","10,672","2,296",93,"7,984","56,480","307,153"
2017,Award of at least 1 but less than 2 academic years,"421,596","130,100","3,104","1,218","1,177",205,"9,233","32,102","244,457"
2017,Associate's degree,"1,005,744",57,"15,895","26,043","11,966","2,160","48,300","185,616","715,707"
2017,Award of at least 2 but less than 4 academic years,"30,855","20,902","1,192",155,457,40,322,986,"6,801"
2017,Bachelor's degree,"1,956,114",N/A,"971,303","288,324","176,386","48,101","373,587","98,384",29
2017,Postbaccalaureate certificate,"42,107",148,"24,051","8,348","3,940",406,"5,123",49,42
2017,Master's degree,"804,542",N/A,"445,078","158,679","70,205","15,528","115,029",23,N/A
2017,Post-master's certificate,"20,188",11,"11,879","3,821","1,341",215,"2,917",4,N/A
2017,Doctor's degree - research/scholarship (new degree classification),"70,805",N/A,"58,071","12,734",0,N/A,N/A,N/A,N/A
